Epoch,Train Loss,Validation Loss,Validation Accuracy
1,4.21012184016235,3.6773683149603347,12.809999999999999
2,3.4186934424788142,3.388585163068168,19.34
3,2.9163415779543045,2.7422632537310636,29.13
4,2.437259528033264,2.3882497533967224,37.28
5,2.0831420305744768,1.9949696350701247,45.5
6,1.8541307458487313,1.9750808930095238,47.54
7,1.7002003897181557,1.8551452506946613,49.480000000000004
8,1.5898645915033873,1.8323935919170138,50.73
9,1.5257720419817873,1.8181593161595018,50.529999999999994
10,1.4678388178500983,1.7260948645917675,52.05
11,1.4226461408083395,2.0879514971865882,47.29
12,1.3952399565435736,1.7609147391741788,51.980000000000004
13,1.3624326716298643,1.9149850486200066,48.83
14,1.3357049084990227,1.6618536635290218,54.82
15,1.3260871902146303,2.0273300530035283,49.02
16,1.3091813173440412,1.7155275616464736,53.87
17,1.2795506561808574,1.9067728398721429,50.6
18,1.2669087270336687,2.0675149703327613,48.07
19,1.2550876318951092,1.647955764698077,56.07
20,1.2408156186113577,1.5452357470234739,57.46
21,1.2375287474573726,2.0501754495161997,47.13
22,1.2279002471348208,1.784207730353633,52.7
23,1.2176756242961835,1.6897473486163948,54.94
24,1.2038066426811316,1.9162570313562322,51.38
25,1.1970909971105472,1.6588725455199615,55.34
26,1.1865253940872524,1.6024652206445043,56.48
27,1.1757649091808386,1.7682379061662699,53.97
28,1.1742755147197363,1.6257248468036893,56.269999999999996
29,1.1690921272768084,1.6956903300707853,54.89000000000001
30,1.1608580151177428,1.9050555546072465,51.54
31,1.155905290485343,1.555843152577364,57.620000000000005
32,1.154822083080516,1.9798910813995554,50.62
33,1.1444401192238263,1.5696405149713348,57.440000000000005
34,1.142639592632918,1.748557154136368,55.14
35,1.1402375153873279,1.853854849368711,52.53
36,1.1316157367528248,1.827255778674838,53.37
37,1.134915036313674,1.6103417164162745,57.220000000000006
38,1.131860423423445,1.741043231155299,54.410000000000004
39,1.1249621022692726,1.6802763440940953,55.71
40,1.1180746250445275,1.5986842354641686,57.35
41,1.1249494391024266,1.544847482367407,57.940000000000005
42,1.1146063659806995,1.6233531357366828,56.61000000000001
43,1.1175621433940994,1.6354037870334674,55.989999999999995
44,1.105829255202847,1.4776594503016411,58.87
45,1.1125187896706563,1.7548702638360518,54.559999999999995
46,1.1129973635954016,1.583015825175032,58.01
47,1.0987789280274336,1.595832512348513,56.49999999999999
48,1.0944866949639966,1.8014429415328592,54.04
49,1.0995057272484234,1.5138585642923283,58.809999999999995
50,1.0952190297948734,1.891966769966898,52.38
51,1.0905780914189565,1.6831700530233262,55.379999999999995
52,1.089129393362938,1.6078233945218823,57.589999999999996
53,1.087815516745038,1.5274562488628338,58.940000000000005
54,1.095598473878163,1.8828483638884146,52.88
55,1.0780836220287606,1.8472977740855157,52.76
56,1.090786892434825,1.6048780830600593,57.07
57,1.0812217821855374,1.521248308918144,58.620000000000005
58,1.0820099094029887,1.7366026428681385,55.31
59,1.0773000384840514,1.7194600210914128,56.19
60,1.074404909635139,1.6362410391433329,56.279999999999994
61,1.0782618403739637,1.5708254847345473,57.82000000000001
62,1.055442654568216,1.684225554707684,56.589999999999996
63,1.0687026870829979,1.5487795585318456,58.93000000000001
64,1.060707789552791,1.9397854005234152,52.72
65,1.0625102454439148,1.5433850997610936,58.160000000000004
66,1.0581885541186613,1.520048438748227,58.35
67,1.0656280665446425,1.5770930036713806,57.989999999999995
68,1.0661625327051754,1.5534702931778341,57.37
69,1.054229658278053,1.5250572916827625,58.56
70,1.0543057473419268,1.8586182820646069,53.65
71,1.0558901651740988,1.5206537427781504,58.919999999999995
72,1.0418014262643311,1.7358166899862169,55.64
73,1.054320707193116,1.5516380282896984,58.3
74,1.0506011326904492,1.7059714009490194,56.510000000000005
75,1.0391324337790995,1.7907583638082576,53.86
76,1.0487315894087867,1.6120269192924983,57.599999999999994
77,1.0390729385873545,1.7525953974904893,55.00000000000001
78,1.0422517138978709,1.4790818857241281,60.309999999999995
79,1.0287578512945443,1.599017223225364,58.160000000000004
80,1.0300483627392507,1.8037649906134303,54.32
81,1.0278386240420134,1.465893505494806,60.12
82,1.0317323902988678,1.688680215726925,56.26
83,1.017613619489743,1.6212814653976053,57.78
84,1.0216268834555546,1.588615020619163,58.230000000000004
85,1.0234841183018502,1.52732302418238,58.76
86,1.0178632391688158,1.7620757697503777,54.669999999999995
87,1.0175809893766632,1.582281141341487,58.160000000000004
88,1.0132202567041988,1.767583097083659,55.11000000000001
89,1.014149274819952,1.4796648282039015,60.33
90,1.0032611198132606,1.7539086960539032,55.11000000000001
91,1.0032011122654771,1.7179231402240223,56.05
92,1.009087180237636,1.6182531676714933,57.56
93,0.9925658715045665,1.6879391519329217,56.18
94,0.9925883028208448,1.5850264030166819,58.160000000000004
95,0.9951519854843159,1.6109715006019496,58.269999999999996
96,0.991555316064059,1.5736289371418049,58.84
97,0.9940711203438547,1.508868223504175,59.37
98,0.9828142717366328,1.5986568776867058,58.58
99,0.98612873008489,1.5767593353609495,58.87
100,0.9767282513706276,1.6428410063816021,57.010000000000005
101,0.9732372306496896,1.631362774704076,58.08
102,0.9756785657094873,1.5653696150719365,58.69
103,0.9706965381532069,1.4847940553592731,60.5
104,0.9655766226446537,1.4815963265262073,60.08
105,0.9676457472774379,1.4615249286724041,60.85
106,0.9665070833147639,1.6209848711762247,57.49999999999999
107,0.9543499210301567,1.5396580122694183,59.45
108,0.9503646648448446,1.6601545825789246,57.36
109,0.957869953206738,1.6373032512544077,56.98
110,0.9462198610500911,1.3693724221821073,62.82
111,0.9384381254310803,1.5040619871284389,59.89
112,0.9363863910250652,1.6178982122034966,58.87
113,0.9383317387622335,1.5433282384389564,60.57
114,0.935449536194277,1.7022440176975877,56.54
115,0.9312736343239885,1.379249930381775,62.81
116,0.9294964594914176,1.5745633750022212,58.76
117,0.9188158961818041,1.618617776073987,57.37
118,0.9177215686234672,1.4198168667056892,61.870000000000005
119,0.9172627572208414,1.5449646424643602,59.209999999999994
120,0.9144475801521555,1.5674264461179324,59.150000000000006
121,0.9080360643089275,1.5205752291256869,59.46
122,0.9033455927963452,1.5446371156958085,59.08
123,0.900244499868749,1.5927503320235241,58.68
124,0.9042350626967447,1.507343677025807,60.809999999999995
125,0.9044634349205914,1.743893935710569,55.38999999999999
126,0.8981498030140577,1.4912773099126695,61.050000000000004
127,0.8949113553747192,1.590462876271598,58.63
128,0.8918344881528478,1.4904590739479548,61.21
129,0.8738288297067822,1.5378843938248068,59.58
130,0.8952333861604675,1.4719660018063798,61.040000000000006
131,0.8697310797393779,1.396327512173713,62.79
132,0.8698613940907256,1.4492682505257521,61.56
133,0.8661186079235028,1.3841992880724654,62.78
134,0.8606261868611016,1.524274593667139,59.809999999999995
135,0.860474598377257,1.4185056082810028,62.4
136,0.8450420398998748,1.490806585625757,60.42999999999999
137,0.8484154872577209,1.4715444302257104,61.029999999999994
138,0.8429868771596942,1.5912724627724177,59.730000000000004
139,0.8398220266222649,1.3842074358010594,62.980000000000004
140,0.8341106394367754,1.4972328098514411,60.61
141,0.8310402933593906,1.739073858985418,56.81
142,0.829009996655652,1.5979625469521632,57.989999999999995
143,0.8165602475176077,1.4124964121021801,61.82
144,0.8112886003825975,1.4425308855274055,63.0
145,0.8101466792013944,1.4187332844432397,62.629999999999995
146,0.8076027607368996,1.6039101217366472,59.11
147,0.8038518168889653,1.4963468871539152,61.17
148,0.7890717744674829,1.4711121154736868,61.82
149,0.799224272713332,1.494939330257947,61.22
150,0.7824847975655285,1.413866084587725,62.79
151,0.784201694114129,1.4220247691190695,63.81
152,0.7813763010227467,1.444366234767286,62.370000000000005
153,0.7779661089258121,1.30915066939366,64.32
154,0.7709924741779142,1.4475057125091553,62.83
155,0.7630430843366687,1.4092525304118289,63.09
156,0.7515703442761356,1.5493929416318484,60.24
157,0.7646325335783117,1.4132321846636036,61.870000000000005
158,0.750007886410979,1.5646807574018646,60.3
159,0.7502501241843719,1.4785348418392712,61.739999999999995
160,0.7374490144307656,1.4334102672866629,62.99
161,0.7236511088393228,1.5624991021578825,61.51
162,0.7273715951711016,1.451181623754622,62.150000000000006
163,0.7228931924113837,1.4931422396551204,61.71
164,0.7162470748967222,1.451686788208877,61.92999999999999
165,0.7042863055720658,1.4339268962039222,63.57000000000001
166,0.7140567798138885,1.4184103261066388,62.72
167,0.6981821698148537,1.4149167243438432,63.65
168,0.7056063667435171,1.5492832343789595,61.660000000000004
169,0.6850172075469171,1.3376897037783755,64.22
170,0.6956280004185484,1.3830795982215978,63.4
171,0.6823829637311608,1.3564870440507237,64.27000000000001
172,0.6827276221778996,1.3477036907703062,64.17
173,0.6625298868359812,1.4309584113615978,62.78
174,0.6658293492044024,1.3380564994449857,64.58
175,0.6576792540605111,1.4627786618244798,63.04
176,0.6467965904556577,1.4209624596788912,62.980000000000004
177,0.6416972276499814,1.4035359500329705,64.12
178,0.6395340053474202,1.4866906600662424,62.72
179,0.6397661962320128,1.3968600789202918,63.519999999999996
180,0.6299082659699423,1.4623261991935441,63.629999999999995
181,0.6283131984950941,1.535452556006516,61.62
182,0.6219707030012175,1.3029878124406067,65.63
183,0.6138421182742204,1.2608557781086693,66.4
184,0.6082809573549139,1.2715740581102009,66.17
185,0.5954847121635056,1.3728704090359845,64.99000000000001
186,0.5956488880507477,1.2928518652915955,65.16999999999999
187,0.5807174862650655,1.3728466539443294,64.27000000000001
188,0.5813830313475236,1.2812228436711468,66.62
189,0.5677757441540203,1.390719374523887,65.14
190,0.5718841615997617,1.3057882242564913,66.34
191,0.551174720230005,1.3621522731418851,65.03999999999999
192,0.5688604220862279,1.4338542434233654,64.05999999999999
193,0.5496040982815921,1.400399555888357,64.42
194,0.5362932407642569,1.3965673378751249,65.25
195,0.5393174117635888,1.2634013544155072,66.64999999999999
196,0.5374341895208334,1.2891043537779698,66.51
197,0.5198453746716994,1.407723965524118,64.44
198,0.5155538537008378,1.3385475873947144,65.74
199,0.5066240573554393,1.3535911040970041,65.16999999999999
200,0.5045165058292086,1.3472473983523212,65.64
201,0.5059926582266913,1.4167049006570744,64.38000000000001
202,0.4920531371822747,1.3783911617496345,65.06
203,0.4823082433179821,1.2476700793338726,67.61
204,0.4851941469380313,1.3175189208380784,66.36
205,0.4661392365270259,1.3342500487460365,66.46
206,0.47008063550800316,1.4254071199441258,65.16999999999999
207,0.46104976515788254,1.2890677557715886,66.92
208,0.46250991626163884,1.470058573952204,63.92
209,0.44862570817513236,1.390686481059352,65.95
210,0.4385645148318137,1.4199494915672495,66.14
211,0.4335543730527239,1.3499887359293201,66.33
212,0.42956102206883834,1.3878373103805735,64.99000000000001
213,0.4316152025519125,1.288640035104148,67.78
214,0.4054630301949923,1.2893337426306326,67.12
215,0.4056124344963552,1.3032682243781755,66.97
216,0.4079567332706793,1.3383209169665469,67.49000000000001
217,0.3977549592857166,1.2829820476000822,67.64
218,0.39216167958038844,1.352389469176908,67.23
219,0.38222800557265807,1.39768492798262,66.27
220,0.3796742658709626,1.3388105661054202,66.96
221,0.37668067540811456,1.260454872740975,68.47999999999999
222,0.35762784151774846,1.3334367433680763,66.75
223,0.3557150661945343,1.3705377812626995,66.71000000000001
224,0.3552818739658122,1.4111523085002657,66.94
225,0.3541916946087347,1.4241652503798279,65.47
226,0.3429330355675934,1.3394328106807758,67.10000000000001
227,0.33197302700918346,1.2392198450957672,69.13
228,0.32763462801418647,1.3354074343850342,68.0
229,0.31937123747432933,1.305934662305856,67.99
230,0.3074619360744496,1.4161999331244939,65.71000000000001
231,0.31361757085451386,1.3275493345683134,67.95
232,0.30707514842452904,1.2147687613209592,69.56
233,0.29296992090352053,1.2660170272935796,69.28
234,0.2934973306972962,1.2436928658545772,69.22
235,0.2914339749671309,1.287379031694388,68.36
