Epoch,Train Loss,Validation Loss,Validation Accuracy,Learning Rate
1,0.1721,0.1018,96.64,0.00003000
2,0.0633,0.0791,97.37,0.00003000
3,0.0404,0.0963,97.07,0.00003000
4,0.0296,0.0998,96.98,0.00003000
5,0.0272,0.1022,97.16,0.00003000
6,0.0216,0.0913,97.43,0.00003000
7,0.0174,0.1025,97.22,0.00003000
8,0.0214,0.0919,97.34,0.00003000
9,0.0179,0.1021,97.14,0.00003000
10,0.0147,0.1102,97.07,0.00003000
11,0.0052,0.0816,97.95,0.00001500
12,0.0029,0.0896,97.90,0.00001500
13,0.0057,0.0871,97.82,0.00001500
14,0.0031,0.1176,97.54,0.00001500
15,0.0036,0.0983,97.83,0.00001500
16,0.0066,0.0961,97.79,0.00001500
17,0.0029,0.1065,97.50,0.00001500
18,0.0044,0.0973,97.84,0.00001500
19,0.0055,0.1067,97.61,0.00001500
20,0.0040,0.0999,97.76,0.00001500
21,0.0012,0.0886,98.24,0.00000750
22,0.0006,0.1020,98.01,0.00000750
23,0.0009,0.1054,98.02,0.00000750
24,0.0014,0.0991,98.06,0.00000750
25,0.0009,0.1176,97.81,0.00000750
26,0.0011,0.1148,97.87,0.00000750
27,0.0013,0.1174,97.71,0.00000750
28,0.0011,0.1113,97.90,0.00000750
29,0.0013,0.1273,97.55,0.00000750
30,0.0020,0.1129,97.65,0.00000750
31,0.0003,0.0982,98.13,0.00000375
32,0.0001,0.0986,98.12,0.00000375
33,0.0003,0.1024,97.96,0.00000375
34,0.0001,0.1022,98.08,0.00000375
35,0.0001,0.1045,98.11,0.00000375
36,0.0003,0.1095,97.96,0.00000375
37,0.0002,0.1117,97.96,0.00000375
38,0.0004,0.1085,98.07,0.00000375
39,0.0003,0.1111,97.99,0.00000375
40,0.0007,0.1069,98.07,0.00000375
41,0.0003,0.1055,98.17,0.00000188
42,0.0003,0.1064,98.15,0.00000188
43,0.0001,0.1091,98.04,0.00000188
44,0.0001,0.1063,98.11,0.00000188
45,0.0000,0.1073,98.15,0.00000188
46,0.0001,0.1002,98.31,0.00000188
47,0.0000,0.1010,98.28,0.00000188
48,0.0000,0.1054,98.26,0.00000188
49,0.0000,0.1040,98.26,0.00000188
50,0.0002,0.1096,98.23,0.00000188
