Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.5029567519722082,1.1520158286336102,57.50999999999999
2,1.1737881909550913,0.9930500244792504,64.85
3,1.0500541713536549,0.9589909775347649,66.0
4,0.9702926586046243,0.8148547139348863,70.95
5,0.9123781299042275,0.8289571336553067,70.85000000000001
6,0.8709594108869353,0.7535170644898957,73.49
7,0.836244820481371,0.7152390366868128,75.18
8,0.7999396068055916,0.7194253840023959,74.98
9,0.7708117103637637,0.6822554604916633,76.37
10,0.7484263148149262,0.7055304567270642,75.51
11,0.7239287906443067,0.6475916485997695,77.72
12,0.7029585413768163,0.6101464221749124,78.7
13,0.6859803480260512,0.616613074948516,78.69
14,0.6656610676852028,0.6022144529638411,79.12
15,0.6547069616634827,0.6083717893196058,78.81
16,0.633035273045835,0.610014720430857,78.8
17,0.623090613071266,0.5582112613358076,80.36
18,0.6131154654733361,0.5532661600957943,80.51
19,0.6005640086310599,0.5414723342732538,81.07
20,0.5842951214526926,0.5867713406870637,80.07
21,0.5769095218852353,0.5320609947548637,81.46
22,0.567946282036774,0.5469338792034343,81.43
23,0.5582968354072717,0.5635839447944979,80.83
24,0.5440806738860772,0.6267075383964973,79.80000000000001
25,0.5436432997284033,0.538154421350624,81.5
26,0.527615659453375,0.508769468038897,82.35
27,0.523647563765421,0.4963034500804129,82.96
28,0.5202956842949323,0.5170694993266577,81.74
29,0.5107283628047885,0.4878113541422011,83.19
30,0.5055961952642407,0.4925934755349461,82.91
31,0.49494040218155705,0.5284064996846115,81.94
32,0.4922392319535355,0.5394106933587715,81.75
33,0.48994853139838296,0.4955592708119863,83.25
34,0.48219593338039524,0.4735002876082553,83.78999999999999
35,0.4799215692235991,0.4863147207453281,83.81
36,0.4731341742950937,0.4761900947063784,83.76
37,0.46705159826961623,0.4815298522574992,83.45
38,0.4630354335698325,0.47950233575663986,83.66
39,0.4584915296500906,0.5060213313827032,83.28
40,0.45360012230513347,0.48367971785460845,83.7
41,0.40868775157824805,0.4513298505091969,85.05
42,0.3989876915731698,0.4336038271460352,85.58
43,0.39228532453784554,0.44016949756990503,85.09
44,0.38877278966519535,0.48131088252309,83.72
45,0.38585122951003903,0.4449483663598193,85.46000000000001
46,0.3808396755124602,0.4286307635941083,86.00999999999999
47,0.37707463760510124,0.4350954475282114,85.68
48,0.37468361858364263,0.44924393824384184,85.07000000000001
49,0.3746836654594182,0.43201821099353743,85.74000000000001
50,0.36839447164779426,0.4447416478320013,85.28
