Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.720862855081973,1.4003912723517116,48.29
2,1.202682906252039,1.0998790120776696,61.11
3,0.9536408387181704,0.9918101701555373,64.75
4,0.8197687387161547,0.9917041138757633,65.01
5,0.7151365781684056,0.885641479039494,69.87
6,0.66187826553574,0.812911002696315,72.28
7,0.6214031059571239,0.7281870460962947,75.76
8,0.5969440695422384,1.009926447385474,67.07
9,0.5848624300011589,0.7318437386162674,75.69
10,0.5728730277332199,0.7201557785649843,76.03
11,0.5609739762742806,0.7016685737084739,75.92999999999999
12,0.5522120509611066,0.6781696877147578,77.10000000000001
13,0.5333781374232544,0.7063136919389797,75.75
14,0.5275843394991687,0.6622549295425415,77.63
15,0.5259798831494568,0.9109575137307372,71.87
16,0.5220871375649786,0.6030638715888881,79.91
17,0.5118634777758128,0.6850259847278837,77.18
18,0.5059508185862275,0.6608017960303947,78.01
19,0.49444033727621484,0.8231679284119908,73.68
20,0.49890144607600045,0.6293510289131841,78.43
21,0.49016452521619286,0.7145579876024512,76.19
22,0.4858734842456515,0.7375644434101974,77.18
23,0.47570353281467465,0.6967995287496832,76.64999999999999
24,0.47945262739420547,0.7727948087680189,75.66000000000001
25,0.4752312124232807,0.6651048686685441,77.73
26,0.4703718142969834,0.7639043425457387,75.49
27,0.4724916296694285,0.8078784912447387,74.08
28,0.4709118748717296,0.6124041657659072,79.58
29,0.4652453095406827,0.5133132238554049,82.62
30,0.4572960945498913,0.7167247877090792,76.73
31,0.46262022700456096,0.6825016152255142,77.38000000000001
32,0.4562421970812561,0.7932047726987284,74.11
33,0.4579133466457772,0.5411178322532509,81.51
34,0.4514547801383621,0.6394295375558394,77.92
35,0.4426824014510035,0.6079777845099003,78.97999999999999
36,0.4474787484197056,0.780139333839658,74.24
37,0.44660071216885694,0.64501365528831,79.3
38,0.4398527568792138,0.6711152859880954,78.32000000000001
39,0.4358136904666491,0.5364485948900634,81.58999999999999
40,0.4348370892464962,0.580719041673443,80.63
41,0.414755114051692,0.8646614272383195,72.46000000000001
42,0.4258847967971621,0.5862982514538343,80.65
43,0.42376915058668924,0.6126486183721808,79.69000000000001
44,0.42047240205890385,0.5506008539018752,81.32000000000001
45,0.4173049942764175,0.7420240761358526,76.94
46,0.42136197215150994,0.6136651240949389,79.10000000000001
47,0.4099940691533906,0.5345222934891906,81.58999999999999
48,0.4170685266442311,0.5438582482217234,82.69999999999999
49,0.407704590112352,0.657358978368059,78.21000000000001
50,0.403978049221551,0.5686069191256656,81.78
51,0.40280910213585097,0.4787157019482383,83.64
52,0.40164911034314527,0.5010563648199733,82.83
53,0.39664422825474266,0.5948744755757006,81.22
54,0.3950944835191493,0.5093384019181698,82.42
55,0.3879991670703644,0.5112345339376715,82.44
56,0.39252671976680953,0.5611835672885557,81.71000000000001
57,0.38546569294789257,0.5269020741121678,82.33
58,0.38375832552037886,0.6032087851928759,80.67
59,0.37393224346058446,0.5138721401932873,82.91
60,0.37281767067397037,0.5409332849556887,81.67
61,0.37366756423355063,0.5071944948993151,82.75
62,0.3709134190817318,0.5581136655203903,81.5
63,0.36701427453466695,0.5186449391177937,83.50999999999999
64,0.36159585934618244,0.5812487673910358,81.42
65,0.36464845615884534,0.43887240317048903,85.56
66,0.35792165884124044,0.5690762883500208,81.46
67,0.3531883680988151,0.4918388622471049,83.88
68,0.35300526552645445,0.46799472125270697,84.41
69,0.35084820022363494,0.44435945605929894,84.82
70,0.3413398994128113,0.5212376743932313,82.28
71,0.33733531188629473,0.5008401474620723,82.72
72,0.34089598890460665,0.4094561344083351,86.19
73,0.3354927792268641,0.43224000572403776,85.25
74,0.3322080465991174,0.42693561598469937,85.53
75,0.3327082023215111,0.44377513154398035,85.17
76,0.31713731503090287,0.45003653138498717,85.04
77,0.3129638856862817,0.38522676020106184,87.07000000000001
78,0.3169969555438327,0.4132919939635675,85.99
79,0.3127898322727979,0.44296158755881876,85.18
80,0.30617390790253957,0.4043539741748496,86.1
81,0.30235043903598396,0.5601242252543003,81.77
82,0.300307065705814,0.40720868808559224,85.78
83,0.294928748436901,0.48686280205279964,83.95
84,0.28824502789913237,0.44545087312595755,85.36
85,0.28607573274456327,0.4576705079289931,84.71
86,0.2823574425619277,0.3886344742171372,86.95
87,0.2771720805627001,0.43716234119632574,85.05
88,0.27554516909677357,0.42896471644126916,85.46000000000001
89,0.269697604581828,0.3573528347136099,87.71
90,0.26221927371628756,0.3581105649848528,88.03999999999999
