Epoch,Train Loss,Validation Loss,Validation Accuracy
1,2.873320445075364,2.084622878062574,20.5
2,1.9596680664955197,1.7883361849603774,30.95
3,1.6833517844109889,1.5137873676758777,43.32
4,1.4305466443986234,1.3278981522668767,50.760000000000005
5,1.2134398796674235,1.1399046159997772,58.06
6,1.0640812106144704,1.292358458796634,54.86
7,0.9674705812693252,0.9006121686742276,67.75
8,0.884178726569466,1.0222469787054425,64.5
9,0.8083252662892841,0.8756631114814855,69.71000000000001
10,0.7358244020310815,0.9234486644781088,68.66
11,0.6892243101621223,0.8638526661486565,70.87
12,0.6499203661518633,1.0171058653276177,67.17999999999999
13,0.6197933829044138,0.7878276886819284,73.61999999999999
14,0.6006611812754971,0.8656089834020108,70.96000000000001
15,0.578421618398803,0.7397479656376417,75.01
16,0.5598603921473179,0.646428603537475,78.28
17,0.545402033021078,0.8462203394008588,73.11
18,0.5315614751232859,0.6681003789358502,77.66
19,0.5180125968230654,0.6991664857804021,77.78
20,0.5180066570144175,0.8215265477759929,72.72999999999999
21,0.5006219079274961,0.7051515979102895,76.88000000000001
22,0.4901353223701877,0.5704218956488597,80.67999999999999
23,0.4813364244940336,0.5903330313254006,79.92
24,0.47635483025284986,0.5221865128112745,82.03
25,0.46502857039804046,0.6578445879718925,76.9
26,0.45880559338328175,0.7416968903964078,75.28
27,0.4561102271766004,0.5705832823922362,80.78
28,0.44528068628762385,0.5323949814597263,82.62
29,0.4425229354740104,0.673906028647966,77.34
30,0.4399942640224686,0.5104931340187411,82.69
31,0.4316734501239284,0.6723234860957423,77.25
32,0.42979335929731577,0.5351925145221662,81.65
33,0.4202748599564633,0.5640811007234114,80.78999999999999
34,0.4180112525706401,0.8656087774264661,72.81
35,0.4083776733911861,0.5504639797572848,81.55
36,0.4097840321795715,0.6126036051707932,79.63
37,0.40600180336276587,0.8021253966077974,75.28
38,0.40232933623254147,0.8401916900390312,74.63
39,0.3966613801772637,0.6325427316412141,79.93
40,0.3875552998174487,0.5374792989673494,82.33
41,0.3920017157293037,0.49429957040503053,83.67
42,0.3917034593079706,0.492645568862746,83.67999999999999
43,0.3805041600904806,0.5947321551510051,80.97999999999999
44,0.3846344622352239,0.9007465997828713,74.98
45,0.3804477343092794,0.5687464709523358,81.33
46,0.38024914131292603,0.47371673018117494,84.68
47,0.3730359076691406,0.5206027653398393,83.25
48,0.37165839859591726,0.5364210518855083,82.09
49,0.3689262260256521,0.5860786690742155,81.39
50,0.3653069483425916,0.5274656143369554,83.15
51,0.36236145829453187,0.5738679313961463,81.81
52,0.3608246561892502,0.5240973896240886,82.88
53,0.3540728527795323,0.6723927349983891,79.71000000000001
54,0.3502242610887493,0.4667604905140551,84.5
55,0.3514627404987355,0.5093929771381088,83.23
56,0.3505682256977881,0.47059069290945804,83.78
57,0.3425411594950635,0.6178977033005485,81.24
58,0.34544848584000715,0.4786796441561059,83.74000000000001
59,0.33140254032124034,0.6674539952338496,78.74
60,0.3381737856303944,0.7085078128531009,77.38000000000001
61,0.33544613683924956,0.41627470545376405,86.02
62,0.3333577900896292,0.5057709737669064,83.7
63,0.3241262964885253,0.5413038560861274,82.97
64,0.32245375608544213,0.5463291576391534,83.03
65,0.32025420094085166,0.6542990135995648,79.4
66,0.32309075465897463,0.5180340318740169,83.61
67,0.31941486049033796,0.7165807877914815,78.47
68,0.3151905123153916,0.592933084768585,81.23
69,0.31408554689048807,0.5779101097885566,82.01
70,0.31463187654762315,0.4415853063139734,85.2
71,0.3042386112082035,0.6020217839675613,80.78999999999999
72,0.3053531232849716,0.5167640221269825,83.77
73,0.29546735563394055,0.6337965960744061,80.57
74,0.30153999673893384,0.6260000357899485,80.74
75,0.2987546571304121,0.519389197796206,83.54
76,0.29744888156118904,0.4134767542156992,86.06
77,0.2949824750499652,0.42196006903165506,85.86
78,0.28726440111694435,0.39096221082572696,87.18
79,0.28459428589972086,0.40699865376647515,86.19
80,0.27679467237437777,0.491871923396859,84.17
81,0.2871710582995963,0.4029864936689787,86.63
82,0.28161499574971016,0.4561606687081011,84.59
83,0.2743096132107708,0.5078281100037731,83.81
84,0.27542026342866976,0.6354151918918272,81.67
85,0.2708833549562318,0.5324354979056346,83.27
86,0.2665904482345447,0.3795516494708725,87.59
87,0.2640687838349196,0.33574602366248263,88.75
88,0.26124444735400815,0.7105028055891206,79.72
89,0.25936653068684556,0.7201443721976462,79.79
90,0.2613999575490842,0.48995643590070026,84.25
91,0.2538074590551579,0.45106932822662066,85.19
92,0.2519170144558563,0.411320330410064,86.65
93,0.2483608243258103,0.47935664578329157,84.38
94,0.24742208777562433,0.3920803896234005,87.22
95,0.24482148660875647,0.5628025875061373,82.67
96,0.23763980367756865,0.43515462833869306,86.14
97,0.2396192718344881,0.37920184772980364,87.69
98,0.23375665505066553,0.43314183173300347,86.07000000000001
99,0.22628611749242944,0.34291547800921185,88.34
100,0.22737230124223567,0.4359016950371899,86.02
101,0.22798779410550662,0.41222672673720345,86.58
102,0.21903321095516004,0.4498139865036252,85.56
103,0.22023802427837,0.39883135372324835,87.18
104,0.21383256278455715,0.7626165310038796,80.08
105,0.21478949578674247,0.3544659616449211,88.17
